name,type,tier,address,county,phone,email,contactPerson,servicesOffered,paymentTermDays,contractStatus,contractStartDate,contractEndDate,contractNotes,geoLatitude,geoLongitude,isOpen24Hours,operatingHours,legalName,registrationNumber,licenceNumber,facilityLevel,smartProviderId,slade360ProviderId
Lubaga Hospital,HOSPITAL,PARTNER,"Lubaga, Kampala",Kampala,+25670095028,billing.0013@lubaga.hospital.test.ug,Provider Relations 0013,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,21,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.339221,32.574811,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Lubaga Hospital Limited,UG-REG-TEST-000013,UMDPC-TEST-000013,General Hospital,SMART-UG-00013,SLADE-UG-00013
Mengo Hospital,HOSPITAL,PARTNER,"Mengo, Kampala",Kampala,+25670102947,billing.0014@mengo.hospital.test.ug,Provider Relations 0014,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,21,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.361819,32.592784,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Mengo Hospital Limited,UG-REG-TEST-000014,UMDPC-TEST-000014,General Hospital,SMART-UG-00014,SLADE-UG-00014
St. Francis Hospital Nsambya,HOSPITAL,PARTNER,"Nsambya, Kampala",Kampala,+25670110866,billing.0015@st.francis.hospital.nsambya.test.ug,Provider Relations 0015,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,21,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.34803,32.591401,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",St. Francis Hospital Nsambya Limited,UG-REG-TEST-000015,UMDPC-TEST-000015,General Hospital,SMART-UG-00015,SLADE-UG-00015
Kibuli Hospital,HOSPITAL,PARTNER,Kampala,Kampala,+25670118785,billing.0016@kibuli.hospital.test.ug,Provider Relations 0016,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,21,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.342236,32.581107,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Kibuli Hospital Limited,UG-REG-TEST-000016,UMDPC-TEST-000016,General Hospital,SMART-UG-00016,SLADE-UG-00016
Aga Khan University Hospital,HOSPITAL,PANEL,Kampala Road / Acacia,Kampala,+25670126704,billing.0017@aga.khan.university.hospital.test.ug,Provider Relations 0017,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.362942,32.569886,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Aga Khan University Hospital Limited,UG-REG-TEST-000017,UMDPC-TEST-000017,General Hospital,SMART-UG-00017,SLADE-UG-00017
UMC Victoria Hospital,HOSPITAL,PANEL,"Bukoto / Kira Road, Kampala",Kampala,+25670134623,billing.0018@umc.victoria.hospital.test.ug,Provider Relations 0018,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.356219,32.587818,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",UMC Victoria Hospital Limited,UG-REG-TEST-000018,UMDPC-TEST-000018,General Hospital,SMART-UG-00018,SLADE-UG-00018
Ruby Medical Center,HOSPITAL,PANEL,"Lugogo Bypass, Kampala",Kampala,+25670142542,billing.0019@ruby.medical.center.test.ug,Provider Relations 0019,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.355182,32.596465,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Ruby Medical Center Limited,UG-REG-TEST-000019,UMDPC-TEST-000019,General Hospital,SMART-UG-00019,SLADE-UG-00019
TMR International Hospital,HOSPITAL,PANEL,"Naalya, Kampala",Kampala,+25670150461,billing.0020@tmr.international.hospital.test.ug,Provider Relations 0020,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.344107,32.596313,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",TMR International Hospital Limited,UG-REG-TEST-000020,UMDPC-TEST-000020,General Hospital,SMART-UG-00020,SLADE-UG-00020
Bethany Women's and Children's Hospital,HOSPITAL,PANEL,Entebbe / Luzira,Wakiso,+25670158380,billing.0021@bethany.women.s.and.children.s.hospital.test.ug,Provider Relations 0021,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Surgery|Hospital,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.388339,32.481971,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Bethany Women's and Children's Hospital Limited,UG-REG-TEST-000021,UMDPC-TEST-000021,General Hospital,SMART-UG-00021,SLADE-UG-00021
CORSU Rehabilitation Hospital,CLINIC,PARTNER,Kampala,Kampala,+25670166299,billing.0022@corsu.rehabilitation.hospital.test.ug,Provider Relations 0022,Outpatient|Laboratory|Minor Surgery,21,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.354396,32.570367,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",CORSU Rehabilitation Hospital Limited,UG-REG-TEST-000022,UMDPC-TEST-000022,Outpatient,SMART-UG-00022,SLADE-UG-00022
Nkozi Hospital,HOSPITAL,PARTNER,"Nkozi Subcounty, Mpigi",Mpigi,+25670174218,billing.0023@nkozi.hospital.test.ug,Provider Relations 0023,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,21,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.194576,32.270382,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Nkozi Hospital Limited,UG-REG-TEST-000023,UMDPC-TEST-000023,General Hospital,SMART-UG-00023,SLADE-UG-00023
St. Francis Naggalama Hospital,HOSPITAL,PARTNER,Mukono,Mukono,+25670182137,billing.0024@st.francis.naggalama.hospital.test.ug,Provider Relations 0024,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,21,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.3102,32.717939,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",St. Francis Naggalama Hospital Limited,UG-REG-TEST-000024,UMDPC-TEST-000024,General Hospital,SMART-UG-00024,SLADE-UG-00024
Norvik Hospital,HOSPITAL,PANEL,"Bombo Road, Kampala",Kampala,+25670190056,billing.0025@norvik.hospital.test.ug,Provider Relations 0025,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.343486,32.588645,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Norvik Hospital Limited,UG-REG-TEST-000025,UMDPC-TEST-000025,General Hospital,SMART-UG-00025,SLADE-UG-00025
Platinum Specialist Hospital,HOSPITAL,PANEL,"Buganda Road, Kampala",Kampala,+25670197975,billing.0026@platinum.specialist.hospital.test.ug,Provider Relations 0026,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.343188,32.572104,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Platinum Specialist Hospital Limited,UG-REG-TEST-000026,UMDPC-TEST-000026,General Hospital,SMART-UG-00026,SLADE-UG-00026
Najjera Hospital,HOSPITAL,PANEL,"Najjera, Kampala",Kampala,+25670205894,billing.0027@najjera.hospital.test.ug,Provider Relations 0027,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.353413,32.580466,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Najjera Hospital Limited,UG-REG-TEST-000027,UMDPC-TEST-000027,General Hospital,SMART-UG-00027,SLADE-UG-00027
Anbar Hospital,HOSPITAL,PANEL,Mubende,Mubende,+25670213813,billing.0028@anbar.hospital.test.ug,Provider Relations 0028,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.580927,31.424441,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Anbar Hospital Limited,UG-REG-TEST-000028,UMDPC-TEST-000028,General Hospital,SMART-UG-00028,SLADE-UG-00028
True Vine Hospital,HOSPITAL,PANEL,Mubende,Mubende,+25670221732,billing.0029@true.vine.hospital.test.ug,Provider Relations 0029,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.542764,31.430593,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",True Vine Hospital Limited,UG-REG-TEST-000029,UMDPC-TEST-000029,General Hospital,SMART-UG-00029,SLADE-UG-00029
Bishop Caesar Asili Memorial Hospital,HOSPITAL,PARTNER,Luwero,Luwero,+25670229651,billing.0030@bishop.caesar.asili.memorial.hospital.test.ug,Provider Relations 0030,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,21,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.890023,32.482681,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Bishop Caesar Asili Memorial Hospital Limited,UG-REG-TEST-000030,UMDPC-TEST-000030,General Hospital,SMART-UG-00030,SLADE-UG-00030
Al-Shafa Hospital,HOSPITAL,PANEL,Jinja,Jinja,+25670237570,billing.0031@al.shafa.hospital.test.ug,Provider Relations 0031,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.457285,33.237728,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Al-Shafa Hospital Limited,UG-REG-TEST-000031,UMDPC-TEST-000031,General Hospital,SMART-UG-00031,SLADE-UG-00031
Almecca Hospital,HOSPITAL,PANEL,Jinja,Jinja,+25670245489,billing.0032@almecca.hospital.test.ug,Provider Relations 0032,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.445451,33.204402,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Almecca Hospital Limited,UG-REG-TEST-000032,UMDPC-TEST-000032,General Hospital,SMART-UG-00032,SLADE-UG-00032
Bugolobi Medical Centre,CLINIC,PANEL,"Bugolobi, Kampala",Kampala,+25670253408,billing.0033@bugolobi.medical.centre.test.ug,Provider Relations 0033,Outpatient|Laboratory|Maternity,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.35685,32.599282,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Bugolobi Medical Centre Limited,UG-REG-TEST-000033,UMDPC-TEST-000033,HC III,SMART-UG-00033,SLADE-UG-00033
St. Catherines Hospital,CLINIC,PANEL,"Buganda Road, Kampala",Kampala,+25670261327,billing.0034@st.catherines.hospital.test.ug,Provider Relations 0034,Outpatient|Laboratory|Maternity,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.352365,32.594676,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",St. Catherines Hospital Limited,UG-REG-TEST-000034,UMDPC-TEST-000034,HC III,SMART-UG-00034,SLADE-UG-00034
Lifelink Medical Centre,CLINIC,PANEL,Ntinda / Kyaliwajala,Kampala,+25670269246,billing.0035@lifelink.medical.centre.test.ug,Provider Relations 0035,Outpatient|Laboratory|Emergency,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.341839,32.580886,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Lifelink Medical Centre Limited,UG-REG-TEST-000035,UMDPC-TEST-000035,HC III,SMART-UG-00035,SLADE-UG-00035
Healingway Hospital,CLINIC,PANEL,"Bugolobi, Kampala",Kampala,+25670277165,billing.0036@healingway.hospital.test.ug,Provider Relations 0036,Outpatient|Laboratory|Chronic Care,30,ACTIVE,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.332315,32.565442,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Healingway Hospital Limited,UG-REG-TEST-000036,UMDPC-TEST-000036,HC III,SMART-UG-00036,SLADE-UG-00036
